# Experiment Metadata
# experiment: 3way_anchor_strategy_comparison
# core_ratios: [0.4, 0.5, 0.6]
# anchor_strategies: ['Fixed_Single', 'Fixed_Iterative', 'Dynamic_Iterative']
# centrality_method: pagerank
# repeat_count: 5
# datasets: ['karate', 'cora', 'citeseer', 'pubmed', 'dolphin', 'football', 'polblog', 'mexican']
# timestamp: 2025-08-04T22:38:04.567502
# 
dataset,core_ratio,anchor_strategy,run_id,runtime,nodes,edges,num_communities,modularity,conductance,coverage,nmi,ami,ari,accuracy,core_nodes_count,periphery_nodes_count,leiden_time,lpa_time,lpa_iterations,centrality_time
cora,0.6,Fixed_Single,2,0.05850410461425781,2485,5069,34,0.2922846412153824,0.782778262205045,0.3667390017754981,0.11677446159629234,0.10167468012461457,0.06102069234035983,0.2454728370221328,1491,994,0.0512089729309082,0.0005080699920654297,1,0.0057485103607177734
cora,0.6,Fixed_Single,3,0.04550886154174805,2485,5069,33,0.29502922794261444,0.782891288265387,0.3730518840007891,0.11179847466359352,0.09694144864715075,0.058928730506937074,0.23903420523138832,1491,994,0.038086891174316406,0.0005011558532714844,1,0.005843400955200195
cora,0.6,Fixed_Single,4,0.04733681678771973,2485,5069,33,0.2922604339460485,0.7745535919945163,0.36535805878871574,0.11521356056882366,0.10062884428208245,0.05872505108666195,0.24064386317907444,1491,994,0.03870892524719238,0.0006759166717529297,1,0.006609439849853516
cora,0.6,Fixed_Iterative,0,0.04975104331970215,2485,5069,34,0.2975444683062046,0.7730081070073539,0.370684553166305,0.11310159355073597,0.09799788071566667,0.05977017043877977,0.24748490945674045,1491,994,0.0417330265045166,0.0008697509765625,2,0.006051301956176758
cora,0.6,Fixed_Iterative,1,0.043565988540649414,2485,5069,35,0.299330785758233,0.7867982695922184,0.3716709410140067,0.11263957667440011,0.09699827295508419,0.05961834794573122,0.2507042253521127,1491,994,0.036277055740356445,0.0008571147918701172,2,0.0053637027740478516
cora,0.6,Fixed_Iterative,2,0.04575085639953613,2485,5069,34,0.2922846412153824,0.782778262205045,0.3667390017754981,0.11677446159629234,0.10167468012461457,0.06102069234035983,0.2454728370221328,1491,994,0.03768754005432129,0.0009021759033203125,2,0.006155729293823242
cora,0.6,Fixed_Iterative,3,0.0450901985168457,2485,5069,33,0.29502922794261444,0.782891288265387,0.3730518840007891,0.11179847466359352,0.09694144864715075,0.058928730506937074,0.23903420523138832,1491,994,0.03696084022521973,0.001066446304321289,2,0.005962848663330078
cora,0.6,Fixed_Iterative,4,0.04425787925720215,2485,5069,33,0.2922604339460485,0.7745535919945163,0.36535805878871574,0.11521356056882366,0.10062884428208245,0.05872505108666195,0.24064386317907444,1491,994,0.03646206855773926,0.0008499622344970703,2,0.005888223648071289
cora,0.6,Dynamic_Iterative,0,0.05996870994567871,2485,5069,26,0.7545421613378698,0.26504594094238815,0.8544091536792267,0.38182550958515205,0.3728936237531521,0.24470417568585517,0.4454728370221328,1491,994,0.042890310287475586,0.008381843566894531,5,0.007238864898681641
cora,0.6,Dynamic_Iterative,1,0.062059879302978516,2485,5069,26,0.7566891943458827,0.26713112848225706,0.8496744920102585,0.38968325549373434,0.3809821504060049,0.24906429589633705,0.4398390342052314,1491,994,0.041028499603271484,0.010941743850708008,7,0.008945465087890625
cora,0.6,Dynamic_Iterative,2,0.05365872383117676,2485,5069,27,0.7556605410729449,0.2725202571061259,0.8528309331229039,0.40004558186267686,0.39106363782027925,0.24953903573213415,0.4277665995975855,1491,994,0.03955245018005371,0.007358074188232422,5,0.0056629180908203125
cora,0.6,Dynamic_Iterative,3,0.06942248344421387,2485,5069,27,0.7588720517774034,0.26184691789480885,0.8585519826395739,0.3912598301190912,0.38206665231105236,0.2451214798278895,0.43420523138833,1491,994,0.052689313888549805,0.009642601013183594,6,0.005959272384643555
cora,0.6,Dynamic_Iterative,4,0.0506587028503418,2485,5069,26,0.7554634775548215,0.27055338792278527,0.8502663247188794,0.3940812403117591,0.38536021251838254,0.24700030256624683,0.4160965794768612,1491,994,0.03645825386047363,0.007215023040771484,5,0.0059621334075927734
citeseer,0.4,Fixed_Single,0,0.025507450103759766,2110,3720,137,0.4066195152618794,0.613940618020765,0.4645161290322581,0.13328456557398827,0.08004456954869364,0.03898524240511652,0.15213270142180094,844,1266,0.018402814865112305,0.0011148452758789062,1,0.005082607269287109
