Graph,Core_Ratio,Repeat,Time (s),Modularity,NMI,F1_Score,ARI,Num_Communities
citeseer,0.4,0,0.0215502,0.8164636,0.3580062,0.0176775,0.1724391,126
citeseer,0.4,1,0.0208824,0.8162781,0.3549464,0.0158401,0.1625926,127
citeseer,0.4,2,0.020555,0.8164468,0.3587765,0.0166962,0.1742815,127
citeseer,0.4,3,0.0207632,0.8174995,0.349709,0.0159725,0.1545517,127
citeseer,0.4,4,0.0206652,0.8179031,0.3540385,0.0144853,0.144365,128
citeseer,0.4,5,0.0205538,0.8143027,0.363502,0.0166758,0.1800842,126
citeseer,0.4,6,0.0209033,0.817917,0.3553892,0.0160229,0.1517353,127
citeseer,0.4,7,0.0206335,0.8191731,0.3559503,0.0160178,0.1531448,127
citeseer,0.4,8,0.0205727,0.8179,0.355906,0.0182068,0.1731235,126
citeseer,0.4,9,0.0209098,0.8164999,0.3576546,0.0159458,0.1646693,127
citeseer,0.5,0,0.0214083,0.8318213,0.334355,0.0217009,0.1404869,86
citeseer,0.5,1,0.0231669,0.8300422,0.3389513,0.025215,0.1700548,86
citeseer,0.5,2,0.0231516,0.8305948,0.3358643,0.0221089,0.1427356,85
citeseer,0.5,3,0.0217066,0.8345554,0.3406611,0.0231018,0.1438499,86
citeseer,0.5,4,0.0205066,0.8332564,0.3452689,0.0247711,0.1602773,84
citeseer,0.5,5,0.0214832,0.8324156,0.3498345,0.025041,0.1675058,86
citeseer,0.5,6,0.0211191,0.8311679,0.3269586,0.0217146,0.1373743,85
citeseer,0.5,7,0.0220661,0.8306012,0.3313119,0.0252403,0.1490275,84
citeseer,0.5,8,0.0225835,0.8342434,0.3485298,0.023493,0.1536036,85
citeseer,0.5,9,0.0203676,0.8330295,0.3461815,0.0247405,0.1474229,87
citeseer,0.6,0,0.0237453,0.8486487,0.3362389,0.0450593,0.1658223,46
citeseer,0.6,1,0.0228934,0.8462267,0.3415176,0.0440883,0.1578817,47
citeseer,0.6,2,0.02228,0.8460349,0.337331,0.0474592,0.1640747,46
citeseer,0.6,3,0.0225127,0.8432573,0.3376893,0.0568759,0.1874591,45
citeseer,0.6,4,0.0220056,0.84509,0.3472325,0.0511519,0.1650922,48
citeseer,0.6,5,0.0223455,0.8432812,0.3317108,0.0518522,0.1673022,45
citeseer,0.6,6,0.022588,0.8451233,0.3399015,0.0486589,0.1632773,48
citeseer,0.6,7,0.0223906,0.8458631,0.3453963,0.0463769,0.1655847,46
citeseer,0.6,8,0.0218611,0.8435548,0.3380251,0.0485945,0.1608487,45
citeseer,0.6,9,0.0222242,0.8450182,0.3423211,0.0460766,0.1650561,47
citeseer,0.7,0,0.0240149,0.8534702,0.3334245,0.0672423,0.1824389,35
citeseer,0.7,1,0.0226481,0.8524158,0.3400596,0.0790848,0.1791164,31
citeseer,0.7,2,0.023216,0.8510272,0.3404475,0.0815621,0.1883514,32
citeseer,0.7,3,0.0224476,0.852316,0.3382239,0.0749651,0.1802801,32
citeseer,0.7,4,0.0225761,0.8517462,0.3313265,0.0751623,0.1688569,30
citeseer,0.7,5,0.0232053,0.8500348,0.3327299,0.0781998,0.1838417,32
citeseer,0.7,6,0.0226853,0.8521074,0.3330082,0.0836827,0.1796595,32
citeseer,0.7,7,0.0226662,0.8526337,0.3352803,0.0783208,0.1768554,30
citeseer,0.7,8,0.0232153,0.8504148,0.3369291,0.0729722,0.1793455,33
citeseer,0.7,9,0.022428,0.8511577,0.3367978,0.0740759,0.1779107,32
citeseer,0.8,0,0.0242636,0.8543198,0.3301028,0.0702944,0.1564379,32
citeseer,0.8,1,0.0250196,0.8550039,0.3321108,0.0628073,0.1573758,34
citeseer,0.8,2,0.0240314,0.855175,0.3333409,0.0652792,0.1729651,37
citeseer,0.8,3,0.0245261,0.855171,0.3343888,0.0699528,0.1714028,34
citeseer,0.8,4,0.024296,0.8551128,0.3354854,0.0666474,0.1744639,36
citeseer,0.8,5,0.0238929,0.8548105,0.3391131,0.0672589,0.177634,36
citeseer,0.8,6,0.0243492,0.8552375,0.3343263,0.0696031,0.1663882,36
citeseer,0.8,7,0.0242038,0.8543194,0.3396175,0.063408,0.1779389,35
citeseer,0.8,8,0.0246429,0.854403,0.3383477,0.062112,0.1642389,35
citeseer,0.8,9,0.0239582,0.8566309,0.3425694,0.0648485,0.1867125,38
citeseer,0.9,0,0.0263939,0.8551202,0.3256398,0.0566231,0.1528898,39
citeseer,0.9,1,0.0260217,0.8560729,0.3379927,0.0633717,0.1705442,36
citeseer,0.9,2,0.0256662,0.8555143,0.3298614,0.0547459,0.1509531,40
citeseer,0.9,3,0.0259955,0.8555083,0.3287084,0.0591326,0.1601874,39
citeseer,0.9,4,0.0256016,0.8555286,0.326465,0.0549312,0.1519562,40
citeseer,0.9,5,0.0259182,0.8554443,0.332306,0.0591667,0.1567647,37
citeseer,0.9,6,0.025974,0.8551513,0.3255198,0.0512353,0.1418277,40
citeseer,0.9,7,0.025192,0.8558269,0.3384727,0.0593907,0.1641644,39
citeseer,0.9,8,0.0695632,0.8554382,0.330353,0.0573278,0.1646597,39
citeseer,0.9,9,0.0256891,0.8549795,0.3370541,0.0613426,0.1698166,37
citeseer,1.0,0,0.0129981,0.8563826,0.3355263,0.0610358,0.1680955,37
citeseer,1.0,1,0.012362,0.8559187,0.3389899,0.0545777,0.1573446,39
citeseer,1.0,2,0.0123515,0.8553945,0.3324596,0.0524119,0.1442233,40
citeseer,1.0,3,0.0122082,0.8557513,0.3360179,0.0564642,0.154662,39
citeseer,1.0,4,0.0121765,0.8557406,0.3285399,0.0509827,0.1341312,38
citeseer,1.0,5,0.0122645,0.8544628,0.3293515,0.0519895,0.153294,41
citeseer,1.0,6,0.01229,0.8559612,0.3301857,0.0566226,0.1520116,38
citeseer,1.0,7,0.0121827,0.8556985,0.3320425,0.0535262,0.1461528,39
citeseer,1.0,8,0.0128953,0.8560438,0.3330622,0.0665293,0.1562441,34
citeseer,1.0,9,0.0122209,0.8559111,0.3260236,0.0545554,0.1444823,39
pubmed,0.0,0,0.2279298,0.6731304,0.2025362,0.0050659,0.2086229,279
pubmed,0.0,1,0.2262764,0.6731304,0.2025362,0.0050659,0.2086229,279
pubmed,0.0,2,0.229089,0.6731304,0.2025362,0.0050659,0.2086229,279
pubmed,0.0,3,0.2279274,0.6731304,0.2025362,0.0050659,0.2086229,279
pubmed,0.0,4,0.2276945,0.6731304,0.2025362,0.0050659,0.2086229,279
pubmed,0.0,5,0.2269769,0.6731304,0.2025362,0.0050659,0.2086229,279
